HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,AMPHIPODA,AMPHIPODA,Amphipod,SALPA-1929-S4/BLR-2,6,,1
PLATESSA-07-1965-1,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,GADUS MORHUA,COD,Teleost,PLATESSA-07-1965-1\BLR-2,1,,1
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,CORYSTES CASSIVELAUNUS (LARVAE),MASKED CRAB (LARVAE),Crab,SALPA-1929-S4/BLR-2,6,,1
CLARK-1921-S1,1921,1/3/1921,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.7,CRANGONIDAE,CRANGONID(BROWN)SHRIMPS,Shrimp,CLARK-1921-S1/BLR-1,27,,17
CLION11-83-20,1983,14/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,49,CRANGONIDAE,CRANGONID(BROWN)SHRIMPS,Shrimp,CLION11-83-20\BLR-1,1,,2
CLION11-83-46,1983,21/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,26,CRANGONIDAE,CRANGONID(BROWN)SHRIMPS,Shrimp,CLION11-83-46\BLR-1,1,,27
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,CRANGONIDAE,CRANGONID(BROWN)SHRIMPS,Shrimp,SALPA-1929-S4/BLR-2,6,,1
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,EMPTY,EMPTY,Empty,SALPA-1928-S4/BLR-1,4,,1
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,EMPTY,EMPTY,Empty,SALPA-1929-S4/BLR-1,4,,2
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.5,EMPTY,EMPTY,Empty,SALPA-1928-S4/BLR-2,1,,1
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,EMPTY,EMPTY,Empty,SALPA-1929-S4/BLR-2,6,,1
CLARK-1921-S1,1921,1/3/1921,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.7,EMPTY,EMPTY,Empty,CLARK-1921-S1/BLR-1,27,,2
CLION11-83-20,1983,14/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,49,EUPHAUSIIDAE,EUPHAUSIIDAE,Euphausid,CLION11-83-20\BLR-1,1,,11
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,FISH LARVAE,FISH LARVAE,Teleost,PLATESSA-07-1965-6\BLR-1,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,FISH LARVAE,FISH LARVAE,Teleost,PLATESSA-07-1965-6\BLR-3,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,FISH LARVAE,FISH LARVAE,Teleost,PLATESSA-07-1965-6\BLR-4,1,,1
PLATESSA-07-1965-7,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,FISH LARVAE,FISH LARVAE,Teleost,PLATESSA-07-1965-7\BLR-1,1,,1
PLATESSA-07-1965-37,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,OSTEICHTHYS - TELEOSTEI,FISH REMAINS (UNIDENTIFIED),Teleost,PLATESSA-07-1965-37\BLR-1,1,,1
PLATESSA-07-1965-37,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,OSTEICHTHYS - TELEOSTEI,FISH REMAINS (UNIDENTIFIED),Teleost,PLATESSA-07-1965-37\BLR-2,1,,1
PLATESSA-07-1965-42,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,OSTEICHTHYS - TELEOSTEI,FISH REMAINS (UNIDENTIFIED),Teleost,PLATESSA-07-1965-42\BLR-2,1,,1
PLATESSA-07-1965-50,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,OSTEICHTHYS - TELEOSTEI,FISH REMAINS (UNIDENTIFIED),Teleost,PLATESSA-07-1965-50\BLR-1,1,,1
CLARK-1921-S1,1921,1/3/1921,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.7,OSTEICHTHYS - TELEOSTEI,FISH REMAINS (UNIDENTIFIED),Teleost,CLARK-1921-S1/BLR-1,27,,8
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,GALATHEA SPP,SQUAT LOBSTERS,Anomura,SALPA-1928-S4/BLR-1,4,,1
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,GALATHEA SPP,SQUAT LOBSTERS,Anomura,SALPA-1928-S4/BLR-3,5,,2
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,54.5,GALATHEA SPP,SQUAT LOBSTERS,Anomura,SALPA-1928-S4/BLR-4,3,,1
